Location,Hotel,Title,Review,Rating
"Denver, CO",The Crawford Hotel,WHAT A STAY!,"The Crawford Hotel was seriously the most unique and beautiful hotels I have ever stayed in. My husband and I decided to stay here for our honeymoon and it certainly did not disappoint. From guest services answering our every need and the Tesla valet courtesy car service especially with Jamel and Riley as our drivers was amazing!!!! I can’t really say anything bad about this hotel whatsoever. Super quiet, super cozy, and outstandingly beautiful and romantic!",5
"Denver, CO",The Crawford Hotel,Anniversary Staycation,"Husband and I booked the B&B package for our 31st anniversary.  The hotel staff were warm, friendly, and professional.  Also I was able to update my reservation after a date mixup.  As mentioned by others in several reviews the hotel amenities are great and the rooms are beautifully decorated.  The experience overall was great with the exception of a few things:  1.  Being awaken early AM to loud noises which sounded like large doors being closed and metal clanging2.  Couldn’t figure out how to order breakfast from Snooze as it was not featured as a category on the iPad.  Called the front desk and they placed the order for us (thanks)!  However by the time the food arrived it was very cold.3. Upon checkout I sat in the great hall in the area reserved for hotel guests while I waited for my husband to return from the restroom.  We saw several people sitting in this area the night of our stay as well.  After about a minute of being seated, a security officer approached me and informed me that this area was for guests only and asked if I was a hotel guest of which I responded I was and then was asked to provide some sort of proof...hotel room number or key.  Since I had previously observed many others who had been seated there unapproached, I informed him that I wouldn’t provide him with such proof but that he could check with the front desk for verification.  After checking with the front desk he came back and apologized.  I understand the need to enforce the seating requirement however from my experience I felt highly offended.  Perhaps Crawford hotel could figure out a different way of enforcement.",4
"Denver, CO",The Crawford Hotel,Birthday Getaway,"We traveled from Emeryville, CA to Denver on the Amtrak Zephyr. It was such a pleasure to get to a real hotel and bed! Anna and Jen at the front desk were marvelous. They put us in a corner spacious room on the balcony level. I love this hotel. Second time staying here and will be back again. Awesome bathroom, shower,  and whirlpool tub. Minutes from multiple restaurants so easy walking even in cold weather.",5
"Denver, CO",The Crawford Hotel,A perfect staycation during the pandemic (and perfect for out-of-towners too),"We stayed at The Crawford the weekend before Thanksgiving to celebrate a 40th birthday and knew that with the pandemic most everything would be closed. So, we decided on a staycation to treat ourselves to some fancy and fun time away from home. The staff are so professional and accommodating, and special thanks go to Jordan (concierge) as she answered all our pre-trip questions, offered to schedule car services for us, and greeted us warmly in-person when we arrived. The amenities included in our stay made it fun because we got to take advantage of enjoying Union Station's full atmosphere (including the restaurants there that offer takeaway food and we even treated ourselves to the complimentary drink, coffee, and ice cream). The rooms are lovely, have very thoughtful touches (like disposable cameras), and gorgeous architecture and design so make it feel like a real getaway to a special hotel versus one of the many chains that don't offer much of an ""experience."" As far as cleanliness and COVID-friendly, The Crawford was completely on top of it so it felt very safe, clean, and accommodating to anyone with underlying health conditions or otherwise simply trying to travel responsibly. The Crawford is a hotel I would highly recommend to anyone local and to anyone coming to Denver who wants an original experience, in a fun part of town, and values real customer service that makes you feel pampered and taken care of. Did I mention the free Tesla car service (within a 2-mile radius)?",5
"Denver, CO",The Crawford Hotel,Incredible service - above and beyond!,"Thoroughly enjoyed my stay at The Crawford! We were staying there to celebrate my cousin’s 40th birthday and the staff was so incredibly kind and generous! Jordan at the front desk was so very helpful in making sure we had a great stay. She went above and beyond to accommodate additional requests. Top notch service. There were some great perks including the free Tesla rides within 2 miles (and the excellent driver Riley!) and free coffee and ice cream at Union Station. Enjoyed the fun Polaroid camera in each room too. Finally, very Covid safe and clean! Will definitely look to stay again when I’m in town.",5
"Denver, CO",The Crawford Hotel,Every time we love it,"We love the location and the hotel every time.  Staying in Union Station with awesome amenities and great people watching if always a treat.  To have such a beautiful room to enjoy on top of that is always appreciated.  We have stayed there after taking the train in from Chicago, after a flight in and this past year after some great days hiking in the mountains for fall colors.  NEVER disappoints.",5
"Denver, CO",The Crawford Hotel,Quick Get Away,"We took the A Line train directly from the airport to the door of Union Station for $21.00.  It was super convenient and runs every 15 minutes or so.  Upon arrival we received a room upgrade to a suite room which was very nice with 1 1/2 baths.  Location was convenient for tours in the surrounding area.  Only let down was that the Tesla service was not offered during our stay and we had to request our coffee supplies from the desk; which wasn’t delivered timely.  Lack of room cleaning/stocking was due to Covid which is understandable during these times.  Complimentary daily coffee shop drink, bar drink and ice cream per person was provided due to the amenity fee which was nice.",5
"Denver, CO",The Crawford Hotel,Could not have been a better stay! ,"During my time here the staff was incredible and so helpful, the rooms are clean and absolutely gorgeous. Even our TESLA driver, Riley was absolutely  amazing. I would recommend  for anyone to stay in this hotel at least once!",5
"Denver, CO",The Crawford Hotel,Loved it,Loved the stay at this hotel on my wedding weekend. It was a treat to have a Tesla drive us complimentary! Riley was amazing! The rooms are so spacious and the amenities are just so amazing. The concierge desk is so helpful and warm.,5
"Denver, CO",The Crawford Hotel,Loved the Location and Staff!,The location of the Crawford made it so easy for a 4 day exploration of Denver. The hotel staff were so quick to respond to questions and any extras for the room. Having access to the Crawford Hotel e-bikes to explore the many scenic trails and river/creek was a highlight. Hotel staff Jen and Jordan were so helpful and part of why this was a 5 star experience!,5
